,State,Year,ViolentAll
120,Arizona,1960,207.7
121,Arizona,1961,164.5
122,Arizona,1962,173.0
123,Arizona,1963,194.2
124,Arizona,1964,213.0
125,Arizona,1965,192.3
126,Arizona,1966,202.2
127,Arizona,1967,238.2
128,Arizona,1968,263.6
129,Arizona,1969,339.2
130,Arizona,1970,370.3
131,Arizona,1971,400.6
132,Arizona,1972,448.9
133,Arizona,1973,479.9
134,Arizona,1974,566.7
135,Arizona,1975,547.8
136,Arizona,1976,455.3
137,Arizona,1977,494.2
138,Arizona,1978,552.1
139,Arizona,1979,593.0
140,Arizona,1980,650.9
141,Arizona,1981,575.8
142,Arizona,1982,517.0
143,Arizona,1983,494.2
144,Arizona,1984,516.1
145,Arizona,1985,602.5
146,Arizona,1986,658.3
147,Arizona,1987,612.6
148,Arizona,1988,610.1
149,Arizona,1989,599.6
150,Arizona,1990,652.4
151,Arizona,1991,670.7
152,Arizona,1992,670.8
153,Arizona,1993,715.0
154,Arizona,1994,703.1
155,Arizona,1995,713.5
156,Arizona,1996,631.5
157,Arizona,1997,623.7
158,Arizona,1998,577.9
159,Arizona,1999,551.1
160,Arizona,2000,531.7
161,Arizona,2001,540.3
162,Arizona,2002,554.5
163,Arizona,2003,513.3
164,Arizona,2004,504.4
165,Arizona,2005,512.0
166,Arizona,2006,542.6
167,Arizona,2007,518.0
168,Arizona,2008,485.6
169,Arizona,2009,426.5
170,Arizona,2010,413.6
171,Arizona,2011,414.2
172,Arizona,2012,428.9
173,Arizona,2013,416.5
174,Arizona,2014,399.9
175,Arizona,2015,410.2
176,Arizona,2016,470.1
177,Arizona,2017,508.0
178,Arizona,2018,474.9
179,Arizona,2019,455.3
300,Colorado,1960,137.3
301,Colorado,1961,149.3
302,Colorado,1962,156.8
303,Colorado,1963,130.3
304,Colorado,1964,158.6
305,Colorado,1965,152.7
306,Colorado,1966,168.9
307,Colorado,1967,191.8
308,Colorado,1968,263.0
309,Colorado,1969,298.8
310,Colorado,1970,356.7
311,Colorado,1971,373.6
312,Colorado,1972,405.4
313,Colorado,1973,414.0
314,Colorado,1974,429.8
315,Colorado,1975,463.1
316,Colorado,1976,417.0
317,Colorado,1977,511.9
318,Colorado,1978,498.0
319,Colorado,1979,522.1
320,Colorado,1980,528.6
321,Colorado,1981,531.7
322,Colorado,1982,504.2
323,Colorado,1983,476.4
324,Colorado,1984,457.8
325,Colorado,1985,471.0
326,Colorado,1986,523.6
327,Colorado,1987,467.5
328,Colorado,1988,472.6
329,Colorado,1989,471.4
330,Colorado,1990,526.0
331,Colorado,1991,559.3
332,Colorado,1992,578.8
333,Colorado,1993,567.3
334,Colorado,1994,509.6
335,Colorado,1995,440.2
336,Colorado,1996,404.5
337,Colorado,1997,363.2
338,Colorado,1998,377.9
